month,Date,member_casual,member_total,member_duration
2022-04,04/02/2022,member,50814,12.33
2022-04,04/03/2022,casual,8162,14.16
2022-04,04/03/2022,member,29267,10.58
2022-04,04/04/2022,casual,11781,15.18
2022-04,04/04/2022,member,57523,11.18
2022-04,04/05/2022,casual,11415,14.44
2022-04,04/05/2022,member,61675,11.1
2022-04,04/06/2022,casual,7456,13.45
2022-04,04/06/2022,member,41824,10.51
2022-04,04/07/2022,casual,4346,11.75
2022-04,04/07/2022,member,31670,9.98
2022-04,04/08/2022,casual,20110,16.87
2022-04,04/08/2022,member,68112,11.93
2022-04,04/09/2022,casual,18316,17.1
2022-04,04/09/2022,member,48723,11.86
2022-04,04/10/2022,casual,14425,16.42
2022-04,04/10/2022,member,42525,11.36
2022-04,04/11/2022,casual,14032,16.14
2022-04,04/11/2022,member,61504,11.46
2022-04,04/12/2022,casual,23502,18.76
2022-04,04/12/2022,member,69280,12.94
2022-04,04/13/2022,casual,22105,17.55
2022-04,04/13/2022,member,75752,12.53
2022-04,04/14/2022,casual,20899,17.0
2022-04,04/14/2022,member,68902,11.91
2022-04,04/15/2022,casual,29113,18.44
2022-04,04/15/2022,member,68236,12.2
2022-04,04/16/2022,casual,27874,19.39
2022-04,04/16/2022,member,51691,12.88
2022-04,04/17/2022,casual,15673,17.94
2022-04,04/17/2022,member,37481,11.64
2022-04,04/18/2022,casual,9968,14.98
2022-04,04/18/2022,member,45943,10.51
2022-04,04/19/2022,casual,9521,13.66
2022-04,04/19/2022,member,49975,10.57
2022-04,04/20/2022,casual,17559,16.32
2022-04,04/20/2022,member,66670,11.7
2022-04,04/21/2022,casual,15433,15.36
2022-04,04/21/2022,member,62342,11.31
2022-04,04/22/2022,casual,25920,18.06
2022-04,04/22/2022,member,70276,12.41
2022-04,04/23/2022,casual,32776,19.04
2022-04,04/23/2022,member,60025,13.14
2022-04,04/24/2022,casual,26976,19.1
2022-04,04/24/2022,member,54491,13.22
2022-04,04/25/2022,casual,13129,15.25
2022-04,04/25/2022,member,60138,11.37
2022-04,04/26/2022,casual,12740,14.43
2022-04,04/26/2022,member,63048,11.33
2022-04,04/27/2022,casual,14619,14.4
2022-04,04/27/2022,member,68854,11.3
2022-04,04/28/2022,casual,14511,14.63
2022-04,04/28/2022,member,64979,11.15
2022-04,04/29/2022,casual,20171,16.62
2022-04,04/29/2022,member,67017,11.86
2022-04,04/30/2022,casual,34794,19.6
2022-04,04/30/2022,member,64786,13.54
2022-05,05/01/2022,casual,32801,19.56
2022-05,05/01/2022,member,59288,13.55
2022-05,05/02/2022,casual,10259,14.61
2022-05,05/02/2022,member,45012,10.74
2022-05,05/03/2022,casual,18350,15.4
2022-05,05/03/2022,member,74726,11.6
2022-05,05/04/2022,casual,15589,15.12
2022-05,05/04/2022,member,65163,11.38
2022-05,05/05/2022,casual,24497,16.69
2022-05,05/05/2022,member,85530,12.27
2022-05,05/06/2022,casual,5576,12.64
2022-05,05/06/2022,member,30102,9.87
2022-05,05/07/2022,casual,3275,12.37
2022-05,05/07/2022,member,17779,9.58
2022-05,05/08/2022,casual,14781,16.64
2022-05,05/08/2022,member,48336,11.53
2022-05,05/09/2022,casual,17702,16.53
2022-05,05/09/2022,member,76917,11.83
2022-05,05/10/2022,casual,19569,16.13
2022-05,05/10/2022,member,85797,12.01
2022-05,05/11/2022,casual,19067,16.03
2022-05,05/11/2022,member,88600,12.18
2022-05,05/12/2022,casual,20299,16.68
2022-05,05/12/2022,member,90781,12.41
2022-05,05/13/2022,casual,18560,16.03
2022-05,05/13/2022,member,77577,11.68
2022-05,05/14/2022,casual,20106,18.05
2022-05,05/14/2022,member,58664,12.68
2022-05,05/15/2022,casual,30825,19.98
2022-05,05/15/2022,member,75029,14.07
2022-05,05/16/2022,casual,12798,16.49
2022-05,05/16/2022,member,66605,11.91
2022-05,05/17/2022,casual,21441,17.46
2022-05,05/17/2022,member,95645,12.98
2022-05,05/18/2022,casual,21151,16.83
2022-05,05/18/2022,member,96197,12.81
2022-05,05/19/2022,casual,15566,16.14
2022-05,05/19/2022,member,75006,12.27
2022-05,05/20/2022,casual,15723,16.69
2022-05,05/20/2022,member,69355,11.94
2022-05,05/21/2022,casual,32392,19.67
2022-05,05/21/2022,member,79449,14.11
2022-05,05/22/2022,casual,28500,19.25
2022-05,05/22/2022,member,71861,14.03
2022-05,05/23/2022,casual,18372,18.05
2022-05,05/23/2022,member,82151,12.9
2022-05,05/24/2022,casual,17053,16.53
2022-05,05/24/2022,member,87642,12.44
2022-05,05/25/2022,casual,19583,17.02
2022-05,05/25/2022,member,94186,12.69
2022-05,05/26/2022,casual,19195,16.94
2022-05,05/26/2022,member,91681,12.62
2022-05,05/27/2022,casual,17129,17.2
2022-05,05/27/2022,member,71329,12.25
2022-05,05/28/2022,casual,21735,18.95
2022-05,05/28/2022,member,59303,13.49
2022-05,05/29/2022,casual,30371,21.5
2022-05,05/29/2022,member,66045,15.0
2022-05,05/30/2022,casual,27926,20.9
2022-05,05/30/2022,member,69209,14.65
2022-05,05/31/2022,casual,17335,16.83
2022-05,05/31/2022,member,82865,12.57
2022-06,06/01/2022,casual,13697,15.97
2022-06,06/01/2022,member,74823,11.87
2022-06,06/02/2022,casual,16336,16.22
2022-06,06/02/2022,member,82113,12.08
2022-06,06/03/2022,casual,25901,17.43
2022-06,06/03/2022,member,94419,12.55
2022-06,06/04/2022,casual,37397,19.74
2022-06,06/04/2022,member,86869,14.12
2022-06,06/05/2022,casual,34081,19.95
2022-06,06/05/2022,member,78306,14.24
2022-06,06/06/2022,casual,21418,17.67
2022-06,06/06/2022,member,88103,12.75
2022-06,06/07/2022,casual,17884,16.34
2022-06,06/07/2022,member,85931,12.03
2022-06,06/08/2022,casual,23956,17.16
2022-06,06/08/2022,member,100056,12.71
2022-06,06/09/2022,casual,23159,16.95
2022-06,06/09/2022,member,91824,12.54
2022-06,06/10/2022,casual,28242,17.95
2022-06,06/10/2022,member,93315,12.83
2022-06,06/11/2022,casual,34806,19.21
2022-06,06/11/2022,member,78330,13.53
2022-06,06/12/2022,casual,25041,18.47
2022-06,06/12/2022,member,64280,12.93
2022-06,06/13/2022,casual,22514,17.47
2022-06,06/13/2022,member,88635,12.37
2022-06,06/14/2022,casual,24662,17.38
2022-06,06/14/2022,member,98789,12.57
2022-06,06/15/2022,casual,25521,16.97
2022-06,06/15/2022,member,102589,12.5
2022-06,06/16/2022,casual,20467,16.46
2022-06,06/16/2022,member,82159,12.0
2022-06,06/17/2022,casual,27729,17.43
2022-06,06/17/2022,member,91608,12.41
2022-06,06/18/2022,casual,32681,18.74
2022-06,06/18/2022,member,74732,13.16
2022-06,06/19/2022,casual,32906,20.08
2022-06,06/19/2022,member,70361,13.7
2022-06,06/20/2022,casual,28817,19.07
2022-06,06/20/2022,member,83917,12.98
2022-06,06/21/2022,casual,18117,16.46
2022-06,06/21/2022,member,81692,11.89
2022-06,06/22/2022,casual,15887,15.25
2022-06,06/22/2022,member,79764,11.52
2022-06,06/23/2022,casual,23128,16.53
2022-06,06/23/2022,member,95024,12.03
2022-06,06/24/2022,casual,28927,17.77
2022-06,06/24/2022,member,94948,12.63
2022-06,06/25/2022,casual,36925,19.47
2022-06,06/25/2022,member,79108,13.6
2022-06,06/26/2022,casual,32761,19.25
2022-06,06/26/2022,member,71177,13.8
2022-06,06/27/2022,casual,13860,16.06
2022-06,06/27/2022,member,66419,11.62
2022-06,06/28/2022,casual,23712,17.48
2022-06,06/28/2022,member,97579,12.5
2022-06,06/29/2022,casual,23317,17.3
2022-06,06/29/2022,member,98529,12.36
2022-06,06/30/2022,casual,22521,17.0
2022-06,06/30/2022,member,93906,12.18
