,end_station_name,end_lat,end_lng
11149112,2 Ave & E 122 St,40.801,-73.935
11959732,2 Ave & E 125 St,40.803,-73.934
3480570,2 Ave & E 29 St,40.742,-73.978
6878450,2 Ave & E 31 St,40.743,-73.977
5566159,2 Ave & E 55 St,40.758,-73.966
958491,2 Ave & E 72 St,40.769,-73.958
8259027,2 Ave & E 96 St,40.784,-73.947
6936702,2 Ave & E 99 St,40.786,-73.946
10721967,20 Ave & 21 St,40.784,-73.912
8903307,20 Ave & 31 St,40.78,-73.907
3028723,20 Ave & 33 St,40.779,-73.906
7125309,20 Ave & 38 St,40.777,-73.902
7177690,20 Ave & 42 St,40.775,-73.9
7685377,20 Ave & 48 St,40.773,-73.897
9540364,20 Ave & Shore Blvd,40.786,-73.915
10037218,21 Ave & 80 St,40.771,-73.89
5982510,21 Ave & Crescent St,40.78,-73.912
10200730,21 Ave & Shore Blvd,40.784,-73.917
10907078,21 St & 21 Ave,40.782,-73.915
6249775,21 St & 23 Ave,40.779,-73.919
12164583,21 St & 31 Dr,40.766,-73.931
6966728,21 St & 36 Ave,40.76,-73.936
6998198,21 St & 38 Ave,40.758,-73.939
11019878,21 St & 4 Ave,40.663,-73.996
3788673,21 St & 43 Ave,40.751,-73.946
9788795,21 St & Hoyt Ave S,40.775,-73.924
2195598,21 St & Queens Plaza North,40.753,-73.943
6260922,23 Ave & 27 St,40.776,-73.915
3305329,23 Rd & 31 St,40.773,-73.914
10282096,23 St & 3 Ave,40.663,-73.999
4513327,24 Ave & 26 St,40.775,-73.919
6590587,24 Ave & 29 St,40.773,-73.916
11863434,24 St & 38 Ave,40.756,-73.937
7897808,24 St & 41 Ave,40.752,-73.94
1708016,24 St & 5 Ave,40.66,-73.995
8823765,25 Ave & 41 St,40.768,-73.911
5257361,27 Ave & 3 St,40.775,-73.934
3003021,27 Ave & 9 St,40.774,-73.931
10509154,27 St & Hunter St,40.748,-73.941
1131936,28 Ave & 35 St,40.767,-73.917
4766732,28 Ave & 44 St,40.764,-73.911
12609661,28 St & 36 Ave,40.757,-73.933
6954119,28 St & 41 Ave,40.751,-73.938
6641544,29 St & 5 Ave,40.657,-73.998
2980914,3 Ave & 14 St,40.669,-73.993
11215739,3 Ave & 17 St,40.666,-73.996
202037,3 Ave & Carroll St,40.677,-73.986
10207320,3 Ave & E 100 St,40.788,-73.947
4370421,3 Ave & E 112 St,40.796,-73.942
2481699,3 Ave & E 163 St,40.824,-73.909
9540224,3 Ave & E 169 St,40.833,-73.905
7142397,3 Ave & E 170 St,40.835,-73.904
11918529,3 Ave & E 172 St,40.84,-73.9
12347219,3 Ave & E 174 St,40.842,-73.898
4224021,3 Ave & E 174 St - Bathgate Vaccination Site,40.842,-73.898
6605266,3 Ave & E 62 St,40.763,-73.965
9766166,3 Ave & E 71 St,40.769,-73.961
3884992,3 Ave & E 72 St,40.77,-73.961
5313027,3 Ave & Franklin Ave,40.827,-73.907
11010288,3 Ave & Schermerhorn St,40.687,-73.98
4552668,3 Ave & Wakeman Pl,40.638,-74.025
6823104,3 St & 3 Ave,40.675,-73.988
5311073,3 St & 7 Ave,40.67,-73.978
827611,3 St & Hoyt St,40.678,-73.994
3882245,3 St & Prospect Park West,40.668,-73.974
11413442,30 Ave & 12 St,40.772,-73.932
8819852,30 Ave & 21 St,40.77,-73.929
9941246,30 Ave & 41 St,40.763,-73.914
8609481,30 Ave & 47 St,40.761,-73.91
403401,30 St & 4 Ave,40.658,-74.001
2644466,31 Ave & 14 St,40.768,-73.932
6591551,31 Ave & 30 St,40.765,-73.924
2233061,31 Ave & 34 St,40.763,-73.921
1199719,31 Ave & 57 St,40.757,-73.905
12553720,31 Ave & 61 St,40.758,-73.902
11780173,31 Ave & Crescent St,40.766,-73.927
360189,31 Ave & Steinway St,40.761,-73.917
10287755,31 Pl & Hunters Point Ave,40.74,-73.935
537689,31 Rd & 21 St,40.767,-73.93
10667129,31 St & 21 Ave,40.778,-73.908
6482377,31 St & 23 Ave,40.775,-73.913
7985527,31 St & Astoria Blvd,40.77,-73.918
420263,31 St & Broadway,40.762,-73.926
10125361,31 St & Ditmars Blvd,40.776,-73.91
5887680,31 St & Hoyt Ave N,40.771,-73.917
583659,31 St & Newtown Ave,40.768,-73.921
10114380,31 St & Northern Blvd,40.752,-73.933
346772,31 St & Thomson Ave,40.745,-73.935
9559250,33 St & 47 Ave,40.743,-73.932
5301918,34 Ave & 13 St,40.764,-73.936
11682713,34 Ave & 21 St,40.763,-73.934
883754,34 Ave & 31 St,40.76,-73.927
2828832,34 Ave & 38 St,40.757,-73.922
7133331,34 Ave & 45 St,40.755,-73.917
7954995,34 Ave & 48 St,40.754,-73.915
6521300,34 St & 35 Ave,40.757,-73.926
6107219,34 St & 38 Ave,40.752,-73.93
7815701,34 St & 4 Ave,40.655,-74.003
9751699,34 St & 48 Ave,40.741,-73.931
830493,34 St & 5 Ave,40.654,-74.001
10776328,34th Ave & Vernon Blvd,40.765,-73.94
490405,35 Ave & 10 St,40.763,-73.94
11734565,35 Ave & 37 St,40.756,-73.924
5951737,35 St & 21 Ave,40.777,-73.907
628609,35 St & 23 Ave,40.773,-73.911
8240409,35 St & 30 Ave,40.765,-73.918
5507243,35 St & 34 Ave,40.758,-73.924
2318689,35 St & Broadway,40.76,-73.922
5023024,36 Ave & 10 St,40.761,-73.941
2269454,36 Ave & 31 St,40.757,-73.93
3284718,36 St & 3 Ave,40.656,-74.007
9125752,36 St & 4 Ave,40.654,-74.004
10531852,36 St & 47 Ave,40.742,-73.929
8333857,36 St & Ditmars Blvd,40.774,-73.908
9758156,36 St & Hunters Point Ave,40.738,-73.93
12235128,36 St & Queens Blvd,40.744,-73.929
10089772,37 Ave & 35 St,40.753,-73.928
386061,37 St & 24 Ave,40.77,-73.912
9156188,38 Ave & 29 St,40.755,-73.934
9390125,38 St & 30 Ave,40.764,-73.916
12872501,38 St & Northern Blvd,40.752,-73.925
4247108,39 St & 2 Ave,40.655,-74.011
279667,4 Ave & 17 St,40.666,-73.993
5956413,4 Ave & 26 St,40.66,-73.999
8246698,4 Ave & 3 St,40.674,-73.986
2256455,4 Ave & 9 St,40.671,-73.989
2132984,4 Ave & E 12 St,40.733,-73.99
12321504,4 Ave & Shore Road Dr,40.637,-74.022
10603797,40 Ave & 9 St,40.757,-73.945
3382511,40 Ave & Crescent St,40.754,-73.938
4355767,41 St & 3 Ave,40.653,-74.009
7934845,41 St & 4 Ave,40.651,-74.007
520126,42 Pl & Northern Blvd,40.753,-73.921
645487,42 St & 1 Ave,40.655,-74.014
6302776,43 St & 23 Ave,40.77,-73.906
7646547,43 St & 35 Ave,40.754,-73.92
10646842,43 St & 37 Ave,40.75,-73.92
1381675,43 St & Broadway,40.758,-73.917
2559111,44 Dr & Jackson Ave,40.747,-73.943
6567884,44 St & 2 Ave,40.653,-74.014
5733599,44 St & 3 Ave,40.651,-74.011
1554583,44 St & 6 Ave,40.647,-74.004
3889409,45 Ave & 21 St,40.747,-73.948
6239861,45 Rd & 11 St,40.747,-73.95
12872236,45 St & 4 Ave,40.649,-74.009
7188057,46 Ave & 5 St,40.747,-73.955
8460480,46 St & 25 Ave,40.766,-73.907
5007449,46 St & 28 Ave,40.763,-73.909
10198782,46 St & 30 Rd,40.761,-73.911
11219296,46 St & 6 Ave,40.646,-74.006
11144620,46 St & 7 Ave,40.645,-74.004
2698900,47 Ave & 31 St,40.743,-73.936
5157421,47 Ave & Skillman Ave,40.744,-73.942
123320,47 St & 3 Ave,40.649,-74.012
9233295,48 Ave & 31 St,40.741,-73.936
10346325,48 Ave & 37 St,40.74,-73.929
10140151,48 Ave & 5 St,40.744,-73.956
2950824,48 St & 2 Ave,40.65,-74.016
9821101,48 St & 37 Ave,40.752,-73.915
10630354,48 St & 5 Ave,40.646,-74.009
9627999,48 St & Broadway,40.756,-73.913
2635322,49 Ave & 21 St,40.743,-73.949
7682733,49 St & 25 Ave,40.764,-73.905
10035380,49 St & 31 Ave,40.758,-73.91
263546,5 Av & W 139 St,40.815,-73.936
7732228,5 Ave & 3 St,40.673,-73.984
2707888,5 Ave & 37 St,40.653,-74.002
8176028,5 Ave & 41 St,40.65,-74.005
6328982,5 Ave & 66 St,40.636,-74.02
4643169,5 Ave & E 103 St,40.792,-73.952
298573,5 Ave & E 135 St,40.812,-73.938
768296,5 Ave & E 29 St,40.745,-73.987
9916681,5 Ave & E 63 St,40.766,-73.972
7348878,5 Ave & E 72 St,40.773,-73.967
9088513,5 Ave & E 78 St,40.776,-73.964
1203693,5 Ave & E 87 St,40.782,-73.96
6257422,5 Ave & E 93 St,40.786,-73.957
3561000,5 Ave & W 126 St,40.807,-73.942
6524876,5 Ave & W 131 St,40.81,-73.94
12372156,5 Corners Library,40.735,-74.06
5676224,5 St & 51 Ave,40.742,-73.957
10895374,5 St & 6 Ave,40.67,-73.982
2060948,5 St & Market St,40.7,-73.974
1672395,50 St & 30 Ave,40.76,-73.907
4105195,50 St & 7 Ave,40.643,-74.006
12638361,50 St & Northern Blvd,40.753,-73.912
6556727,51 St & Hobart St,40.758,-73.908
2381598,52 St & 1 Ave,40.649,-74.02
11701146,52 St & 6 Ave,40.643,-74.009
4854439,53 St & 2 Ave,40.647,-74.019
320125,53 St & 4 Ave,40.645,-74.015
4649643,53 St & 5 Ave,40.643,-74.012
8511803,55 St & 5 Ave,40.642,-74.013
965593,55 St & 7 Ave,40.64,-74.009
10788119,57 St & 1 Ave,40.646,-74.023
6623801,57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,40.646,-74.023
382408,57 St & 4 Ave,40.643,-74.017
9686723,58 St & 2 Ave,40.645,-74.022
5004023,58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,40.645,-74.022
198347,58 St & 32 Ave,40.756,-73.903
9453673,58 St & Pier 4,40.646,-74.026
1388525,59 St & 4 Ave,40.641,-74.018
3939687,59 St & 5 Ave,40.64,-74.016
11036592,6 Ave & 12 St,40.666,-73.985
7895495,6 Ave & 21 St,40.66,-73.991
6946025,6 Ave & 55 St,40.641,-74.011
3970586,6 Ave & 60 St,40.638,-74.014
3942298,6 Ave & 9 St,40.668,-73.984
2673442,6 Ave & Broome St,40.724,-74.005
4470508,6 Ave & Canal St,40.722,-74.006
5702343,6 Ave & W 33 St,40.749,-73.988
6028680,6 Ave & W 34 St,40.75,-73.988
865650,6 Ave & W 45 St,40.757,-73.983
3925740,6 Ave & Walker St,40.72,-74.005
11551982,6 St & 7 Ave,40.669,-73.98
3986196,62 St & 4 Ave,40.64,-74.02
7985616,62 St & Northern Blvd,40.754,-73.9
6036370,63 St & 5 Ave,40.638,-74.018
10593032,64 St & 3 Ave,40.64,-74.023
4850892,65 St & 2 Ave,40.64,-74.026
363839,67 St & Erik Pl,40.633,-74.017
3816070,67 St & Ridge Blvd,40.639,-74.027
11915230,7 Ave & 17 St,40.661,-73.987
6201402,7 Ave & 20 St,40.659,-73.989
1188101,7 Ave & 22 St,40.658,-73.99
12809078,7 Ave & 40 St,40.648,-74.0
433304,7 Ave & 41 St,40.647,-74.001
1229585,7 Ave & Bleecker St,40.732,-74.004
7608008,7 Ave & Central Park South,40.767,-73.979
301603,7 Ave & Park Pl,40.678,-73.973
5813980,7 Ave S & Bleecker St,40.732,-74.004
2640647,7 St & 3 Ave,40.673,-73.99
1494075,7 St & 5 Ave,40.67,-73.985
12421540,76 St & 21 Ave,40.77,-73.894
498014,8 Ave & W 16 St,40.741,-74.002
10039911,8 Ave & W 24 St,40.746,-73.998
11114971,8 Ave & W 27 St,40.748,-73.997
8944609,8 Ave & W 31 St,40.751,-73.995
11846305,8 Ave & W 33 St,40.752,-73.994
4499136,8 Ave & W 38 St,40.755,-73.992
6551573,8 Ave & W 49 St,40.762,-73.987
5413720,8 Ave & W 52 St,40.764,-73.985
7567695,8 St & Astoria Blvd,40.773,-73.933
7693599,8 St & Washington St,40.746,-74.028
4393440,9 Ave & W 18 St,40.743,-74.004
11225143,9 Ave & W 206 St,40.863,-73.918
12472053,9 Ave & W 219 St,40.871,-73.912
11654580,9 Ave & W 22 St,40.745,-74.002
5851696,9 Ave & W 45 St,40.76,-73.991
1099012,9 St & 44 Rd,40.75,-73.952
10954161,Academy St & Nagle Ave,40.863,-73.923
12015669,Adam Clayton Powell Blvd & W 115 St,40.803,-73.953
9595056,Adam Clayton Powell Blvd & W 118 St,40.804,-73.951
6137261,Adam Clayton Powell Blvd & W 123 St,40.808,-73.949
2898194,Adam Clayton Powell Blvd & W 126 St,40.809,-73.948
11795628,Adam Clayton Powell Blvd & W 130 St,40.812,-73.946
8635825,Adam Clayton Powell Blvd & W 132 St,40.814,-73.945
12173693,Adam Clayton Powell Blvd & W 138 St,40.817,-73.942
5683128,Adam Clayton Powell Blvd & W 141 St,40.819,-73.941
6151395,Adam Clayton Powell Blvd & W 151 St,40.825,-73.936
10699732,Adams St & 11 St,40.751,-74.034
11274945,Adams St & Prospect St,40.701,-73.989
7533237,Adelphi St & Myrtle Ave,40.693,-73.972
12010391,Albany Ave & Fulton St,40.68,-73.938
10738100,Albany St & Greenwich St,40.709,-74.013
5368611,Albemarle Rd & McDonald Ave,40.645,-73.98
11172434,Alexander Ave & E 134 St,40.807,-73.927
1240499,Allen St & Hester St,40.716,-73.992
11725831,Allen St & Rivington St,40.72,-73.99
9723773,Allen St & Stanton St,40.722,-73.989
5241059,Amsterdam Ave & W 119 St,40.809,-73.96
11713388,Amsterdam Ave & W 125 St,40.813,-73.956
2277575,Amsterdam Ave & W 131 St,40.816,-73.954
10155994,Amsterdam Ave & W 136 St,40.82,-73.952
10222448,Amsterdam Ave & W 152 St,40.83,-73.944
2617389,Amsterdam Ave & W 156 St,40.832,-73.942
9872358,Amsterdam Ave & W 162 St,40.836,-73.94
810798,Amsterdam Ave & W 167 St,40.839,-73.937
909011,Amsterdam Ave & W 172 St,40.842,-73.935
6831115,Amsterdam Ave & W 175 St,40.844,-73.934
7447005,Amsterdam Ave & W 180 St,40.847,-73.931
4769611,Amsterdam Ave & W 183 St,40.849,-73.93
803847,Amsterdam Ave & W 186 St,40.851,-73.929
2617469,Amsterdam Ave & W 189 St,40.853,-73.927
9472678,Amsterdam Ave & W 189 St new,40.853,-73.927
7657281,Amsterdam Ave & W 66 St,40.775,-73.985
2660166,Amsterdam Ave & W 73 St,40.78,-73.981
11317894,Amsterdam Ave & W 79 St,40.783,-73.979
194965,Amsterdam Ave & W 82 St,40.785,-73.977
7442384,Anderson Ave & W 164 St,40.832,-73.927
5165944,Andrew Ave N & Hall of Fame Tce,40.858,-73.91
9963057,Andrews Ave S & W 179 St,40.855,-73.913
8508948,Anthony Ave & E 175 St,40.846,-73.904
4379835,Anthony Ave & E Tremont Ave,40.849,-73.903
4501845,Apache,40.67,-73.995
7873742,Aqueduct Ave & North St,40.86,-73.906
5177777,Aqueduct Ave & W 190 St,40.865,-73.902
2364858,Ashland Pl & Dekalb Ave,40.69,-73.979
11893579,Astoria Park S & Shore Blvd,40.777,-73.928
2088829,Atlantic Ave & Fort Greene Pl,40.684,-73.976
10917562,Atlantic Ave & Furman St,40.692,-74.0
1389916,Audobon Ave & W 179 St,40.847,-73.933
4695262,Audubon Ave & Fort George Ave,40.857,-73.927
6685266,Audubon Ave & W 192 St,40.856,-73.927
10760256,Ave A & E 11 St,40.729,-73.982
3886607,Ave A & E 14 St,40.73,-73.98
7194669,Ave D & E 8 St,40.724,-73.976
4913711,Avenue C & E 18 St,40.731,-73.974
6394611,Avenue D & E 10 St,40.725,-73.975
6997510,Avenue D & E 12 St,40.726,-73.974
7490280,Avenue D & E 3 St,40.721,-73.978
1166783,Bailey Ave & Sedgwick Ave,40.866,-73.909
7952160,Bailey Ave & W 193 St,40.871,-73.907
7424686,Bainbridge Ave & Bedford Park Blvd,40.87,-73.886
9433866,Bainbridge Ave & E 193 St,40.864,-73.892
8646945,Bainbridge Ave & E 196 St,40.866,-73.89
3612918,Bainbridge Ave & E 198 St,40.868,-73.888
6951368,Baldwin at Montgomery,40.724,-74.064
9086357,Bank St & Hudson St,40.737,-74.006
7420970,Bank St & Washington St,40.736,-74.009
8663046,Banker St & Meserole Ave,40.726,-73.956
9610331,Barclay St & Church St,40.713,-74.01
12495636,Barrow St & Hudson St,40.732,-74.007
323786,Barry St & Tiffany St,40.816,-73.892
4886886,Bay St & Court St,40.671,-74.001
1875515,Bayard St & Baxter St,40.716,-74.0
7966900,Bayard St & Leonard St,40.719,-73.949
3942673,Beaver St & Fayette St,40.701,-73.939
8782483,Beck St & Leggett Ave,40.815,-73.9
7658668,Bedford Ave & Bergen St,40.676,-73.953
12463105,Bedford Ave & Montgomery St,40.666,-73.957
1630001,Bedford Ave & Nassau Ave,40.723,-73.952
86845,Bedford Ave & S 9 St,40.709,-73.964
10960402,Bedford Park Blvd & Paul Ave,40.874,-73.892
3191432,Bergen Ave,40.722,-74.071
2451133,Bergen Ave & E 152 St,40.817,-73.915
12840927,Bergen St & 4 Ave,40.683,-73.98
5502450,Bergen St & Flatbush Ave,40.681,-73.976
9251143,Bergen St & Smith St,40.687,-73.991
3467500,Bergen St & Vanderbilt Ave,40.679,-73.968
9489810,Berkeley Pl & 6 Ave,40.677,-73.978
8483631,Berkeley Pl & 7 Ave,40.675,-73.975
7852219,Berry St & N 8 St,40.719,-73.959
12403262,Bialystoker Pl & Delancey St,40.716,-73.983
4939951,Bleecker St & Crosby St,40.726,-73.995
11063808,Bloomfield St & 15 St,40.755,-74.027
6463629,Boerum Pl\t& Pacific St,40.688,-73.991
3520176,Boerum St & Broadway,40.705,-73.95
4102971,Bond St & Bergen St,40.685,-73.986
2755426,Bond St & Fulton St,40.69,-73.983
6319225,Boone Ave & E 172 St,40.833,-73.885
11283115,Borden Ave & Review Ave,40.739,-73.941
6336095,Boston Rd & E 167 St,40.828,-73.904
11765139,Boston Rd & Prospect Ave,40.833,-73.897
3389990,Botanical Sq & Webster Ave,40.868,-73.881
7274880,Bradhurst Ave & W 148 St,40.825,-73.942
9632968,Bradley Ave & Greenpoint Ave,40.736,-73.935
1115121,Bridge St & Water St,40.703,-73.985
11160175,Bridge St & York St,40.701,-73.985
8092895,Broad St & Bridge St,40.704,-74.012
594270,Broad St & Water St,40.703,-74.011
516982,Broadway & 12 St,40.767,-73.935
11224777,Broadway & 49 St,40.755,-73.912
4751210,Broadway & 51 St,40.754,-73.909
7028342,Broadway & Battery Pl,40.705,-74.014
6179284,Broadway & Berry St,40.71,-73.965
10269780,Broadway & E 14 St,40.735,-73.991
6527430,Broadway & E 19 St,40.739,-73.99
8190873,Broadway & E 21 St,40.74,-73.99
7151291,Broadway & Ellwood St,40.862,-73.93
1622612,Broadway & Furman Ave,40.681,-73.908
4629460,Broadway & Hancock St,40.687,-73.917
3620128,Broadway & Kosciuszko St,40.693,-73.929
2607885,Broadway & Madison St,40.688,-73.92
11218016,Broadway & Morris St,40.706,-74.013
60801,Broadway & Moylan Pl,40.814,-73.959
12753573,Broadway & Roebling St,40.709,-73.961
4588286,Broadway & W 122 St,40.812,-73.961
750434,Broadway & W 131 St,40.818,-73.957
3548554,Broadway & W 133 St,40.819,-73.956
1439111,Broadway & W 142 St,40.825,-73.952
474786,Broadway & W 153 St,40.831,-73.947
2444275,Broadway & W 155 St,40.833,-73.946
7381769,Broadway & W 160 St,40.836,-73.943
417046,Broadway & W 165 St,40.839,-73.941
12852911,Broadway & W 168 St,40.841,-73.94
11709745,Broadway & W 185 St,40.853,-73.934
4521283,Broadway & W 192 St,40.858,-73.932
997360,Broadway & W 220 St,40.872,-73.913
5625329,Broadway & W 25 St,40.743,-73.989
3912746,Broadway & W 29 St,40.746,-73.989
507160,Broadway & W 36 St,40.751,-73.988
5992476,Broadway & W 37 St,40.752,-73.988
8410675,Broadway & W 38 St,40.753,-73.987
12444715,Broadway & W 41 St,40.755,-73.987
7481673,Broadway & W 51 St,40.762,-73.983
2815180,Broadway & W 53 St,40.763,-73.983
2024985,Broadway & W 56 St,40.765,-73.982
5864799,Broadway & W 58 St,40.767,-73.982
8978250,Broadway & W 61 St,40.77,-73.982
9018744,Broadway & Whipple St,40.702,-73.944
7888937,Broadway\t& W 48 St,40.76,-73.985
2818442,Bronx Shore Comfort Station,40.8,-73.924
4898555,Brook Ave & E 138 St,40.807,-73.919
10309110,Brook Ave & E 141 St,40.81,-73.918
4304074,Brook Ave & E 148 St,40.814,-73.915
11380099,Brook Ave & E 157 St,40.821,-73.912
11342712,Brooklyn Bridge Park - Pier 2,40.698,-73.997
4591524,Bruckner Blvd & Bryant Ave,40.822,-73.889
10399304,Buchanan Pl & Grand Ave,40.858,-73.906
418395,Bulova Ave & Brooklyn Queens Expressway W,40.763,-73.903
12810420,Bus Slip & State St,40.702,-74.014
7432811,Bushwick Ave & Dekalb Ave,40.695,-73.928
12785722,Bushwick Ave & Forrest St,40.701,-73.936
6630904,Bushwick Ave & Furman Ave,40.683,-73.906
11036965,Bushwick Ave & Harman St,40.694,-73.925
8700047,Bushwick Ave & Linden St,40.691,-73.921
5504319,Bushwick Ave & McKibbin St,40.706,-73.939
5162204,Bushwick Ave & Powers St,40.712,-73.941
892369,Bushwick Ave & Stagg St,40.71,-73.94
1474695,Butler St & Court St,40.685,-73.994
3296615,Cabrini Blvd & W 177 St,40.848,-73.941
4831509,Cadman Plaza E & Red Cross Pl,40.7,-73.99
375257,Cadman Plaza E & Tillary St,40.696,-73.99
11772977,Calyer St & Guernsey St,40.728,-73.955
5567454,Calyer St & Jewel St,40.73,-73.948
11583905,Cambridge Pl & Gates Ave,40.685,-73.963
10899437,Canal St & Rutgers St,40.714,-73.99
9383528,Carlton Ave & Dean St,40.681,-73.971
6808125,Carlton Ave & Flushing Ave,40.698,-73.974
8835520,Carlton Ave & Park Ave,40.696,-73.974
12513983,Carmine St & 6 Ave,40.73,-74.002
5250032,Carroll St & 5 Ave,40.675,-73.981
12052630,Carroll St & 6 Ave,40.674,-73.979
3971957,Carroll St & Bond St,40.679,-73.99
11168601,Carroll St & Columbia St,40.683,-74.003
8426156,Carroll St & Franklin Ave,40.668,-73.959
12771835,Carroll St & Smith St,40.681,-73.995
7861545,Carroll St & Washington Ave,40.669,-73.962
10249120,Cathedral Pkwy & Broadway,40.804,-73.967
6112986,Catherine St & Monroe St,40.711,-73.997
8384627,Caton Ave & Argyle Rd,40.65,-73.968
5778658,Caton Ave & E 10 St,40.648,-73.971
3360673,Caton Ave & E 7 St,40.648,-73.974
1810839,Cauldwell Ave & E 158 St,40.82,-73.908
6841356,Cauldwell Ave & E 161 St,40.822,-73.908
11814583,Cedar Ave & W Fordham Rd,40.862,-73.912
10737075,Cedar St & Evergreen Ave,40.697,-73.928
10599009,Cedar St & Myrtle Ave,40.698,-73.926
3845666,Center Blvd & 48 Ave,40.745,-73.958
9407910,Center Blvd & 51 Ave,40.743,-73.96
1751725,Central Ave & Covert St,40.689,-73.91
6062843,Central Ave & Decatur St,40.688,-73.908
9696982,Central Ave & Flushing Ave,40.703,-73.933
1914420,Central Ave & Himrod St,40.697,-73.923
9561821,Central Ave & Melrose St,40.701,-73.93
12437744,Central Ave & Starr Street,40.7,-73.928
8078556,Central Ave & Weirfield St,40.691,-73.912
6254914,Central Ave & Woodbine St,40.693,-73.916
10425458,Central Park North & Adam Clayton Powell Blvd,40.799,-73.956
2217499,Central Park S & 6 Ave,40.766,-73.976
7659530,Central Park W & W 103 St,40.796,-73.962
4456233,Central Park W & W 91 St,40.789,-73.967
12022602,Central Park W & W 97 St,40.792,-73.964
12808685,Central Park West & W 68 St,40.773,-73.978
9056703,Central Park West & W 72 St,40.776,-73.976
10455180,Central Park West & W 76 St,40.779,-73.974
3550975,Central Park West & W 85 St,40.785,-73.97
11486240,Centre St & Chambers St,40.713,-74.005
5741394,Centre St & Seneca Ave,40.7,-73.902
6539426,Centre St & Worth St,40.715,-74.002
11956975,Charlotte St & Boston Rd,40.836,-73.893
760282,Cherry St,40.712,-73.979
6882085,Chester Ave & 12 Ave,40.644,-73.984
10139548,Christ Hospital,40.735,-74.05
9733788,Christopher St & Greenwich St,40.733,-74.007
4004620,Church Ave & McDonald Ave,40.643,-73.979
9970267,Church Ave & Story St,40.642,-73.981
10938904,Church Sq Park - 5 St & Park Ave,40.743,-74.032
8882522,City Hall,40.718,-74.044
6753207,Clark St & Henry St,40.698,-73.993
11516203,Classon Ave & St Marks Ave,40.677,-73.96
11898543,Clay Ave & Claremont Pkwy,40.84,-73.905
4502486,Clay Ave & E 173 St,40.843,-73.905
3311421,Clermont Ave & Lafayette Ave,40.688,-73.97
10599955,Clermont Ave & Park Ave,40.696,-73.971
4188332,Cleveland Pl & Spring St,40.722,-73.997
6882826,Cliff St & Fulton St,40.708,-74.005
893204,Clinton Ave & Flushing Ave,40.698,-73.97
4054043,Clinton Ave & Myrtle Ave,40.693,-73.969
2691420,Clinton St & 4 Place,40.678,-74.0
6807340,Clinton St & 7 St,40.745,-74.033
324921,Clinton St & Centre St,40.674,-74.002
12582821,Clinton St & Cherry St,40.711,-73.987
2523755,Clinton St & Grand St,40.716,-73.987
12640356,Clinton St & Joralemon St,40.692,-73.993
4636781,Clinton St & Tillary St,40.696,-73.991
9290703,Clinton St & Union St,40.683,-73.998
11467953,Coffey St & Conover St,40.677,-74.016
2368638,Coffey St & Ferris St,40.678,-74.017
6941466,College Ave & E 170 St,40.838,-73.91
181425,Columbia Heights & Cranberry St,40.7,-73.995
11511207,Columbia St & Degraw St,40.686,-74.002
8909850,Columbia St & Kane St,40.688,-74.002
