month,hour,day_of_week,dow_total,dow_duration
2022-06,17,Sunday,33247,0 days 00:16:28.919631846
2022-06,17,Thursday,50149,0 days 00:13:37.662326267
2022-06,17,Tuesday,45231,0 days 00:13:35.947779177
2022-06,17,Wednesday,50056,0 days 00:13:29.649033082
2022-06,18,Friday,41116,0 days 00:14:39.466582352
2022-06,18,Monday,41484,0 days 00:13:52.746962684
2022-06,18,Saturday,30700,0 days 00:15:47.427882736
2022-06,18,Sunday,32135,0 days 00:15:58.398910844
2022-06,18,Thursday,53052,0 days 00:13:37.322551458
2022-06,18,Tuesday,42083,0 days 00:13:21.574459995
2022-06,18,Wednesday,52832,0 days 00:13:43.545199878
2022-06,19,Friday,33531,0 days 00:14:55.192448778
2022-06,19,Monday,32616,0 days 00:14:03.313588422
2022-06,19,Saturday,27908,0 days 00:15:39.621112225
2022-06,19,Sunday,27852,0 days 00:15:31.850136435
2022-06,19,Thursday,41546,0 days 00:13:36.419968227
2022-06,19,Tuesday,30285,0 days 00:13:30.941852402
2022-06,19,Wednesday,40046,0 days 00:13:34.618288967
2022-06,20,Friday,25201,0 days 00:15:17.939288123
2022-06,20,Monday,25240,0 days 00:14:19.478129952
2022-06,20,Saturday,22166,0 days 00:15:46.318144906
2022-06,20,Sunday,21524,0 days 00:15:25.551663259
2022-06,20,Thursday,30367,0 days 00:13:49.604142654
2022-06,20,Tuesday,21915,0 days 00:13:44.056125941
2022-06,20,Wednesday,27504,0 days 00:13:43.822425828
2022-06,21,Friday,17851,0 days 00:14:59.627135734
2022-06,21,Monday,17867,0 days 00:13:46.496110147
2022-06,21,Saturday,16904,0 days 00:15:11.472846663
2022-06,21,Sunday,15612,0 days 00:14:31.233666410
2022-06,21,Thursday,22392,0 days 00:13:45.065335834
2022-06,21,Tuesday,15057,0 days 00:13:39.068207478
2022-06,21,Wednesday,21290,0 days 00:13:28.789572569
2022-06,22,Friday,16345,0 days 00:14:55.784337717
2022-06,22,Monday,13363,0 days 00:13:55.751852129
2022-06,22,Saturday,14609,0 days 00:15:07.011431309
2022-06,22,Sunday,12265,0 days 00:14:22.165185487
2022-06,22,Thursday,18893,0 days 00:13:30.378552903
2022-06,22,Tuesday,13091,0 days 00:13:35.900618745
2022-06,22,Wednesday,16387,0 days 00:13:28.246475865
2022-06,23,Friday,14917,0 days 00:14:44.991620298
2022-06,23,Monday,8767,0 days 00:13:19.810881715
2022-06,23,Saturday,13066,0 days 00:14:55.114189499
2022-06,23,Sunday,8309,0 days 00:13:41.012396196
2022-06,23,Thursday,15016,0 days 00:13:18.010055940
2022-06,23,Tuesday,8861,0 days 00:12:57.219049768
2022-06,23,Wednesday,11323,0 days 00:13:07.020489269
