month,hour,day_of_week,dow_total,dow_duration
2022-01,19,Sunday,4937,0 days 00:11:05.824589831
2022-01,19,Thursday,12000,0 days 00:10:38.637250
2022-01,19,Tuesday,10254,0 days 00:10:03.698751706
2022-01,19,Wednesday,11930,0 days 00:10:39.986253143
2022-01,20,Friday,4897,0 days 00:10:22.172554625
2022-01,20,Monday,6554,0 days 00:09:48.673024107
2022-01,20,Saturday,3521,0 days 00:11:06.767679636
2022-01,20,Sunday,3239,0 days 00:10:55.767829577
2022-01,20,Thursday,7713,0 days 00:10:27.449889796
2022-01,20,Tuesday,6523,0 days 00:09:54.754714088
2022-01,20,Wednesday,7870,0 days 00:10:17.862897077
2022-01,21,Friday,3245,0 days 00:10:22.904776579
2022-01,21,Monday,4367,0 days 00:09:59.896954430
2022-01,21,Saturday,2405,0 days 00:10:33.565488565
2022-01,21,Sunday,2559,0 days 00:11:25.377881985
2022-01,21,Thursday,5273,0 days 00:10:26.863076047
2022-01,21,Tuesday,4368,0 days 00:09:49.495421245
2022-01,21,Wednesday,5362,0 days 00:10:38.052405818
2022-01,22,Friday,2544,0 days 00:10:30.418632075
2022-01,22,Monday,3206,0 days 00:10:04.694635059
2022-01,22,Saturday,2046,0 days 00:10:35.806451612
2022-01,22,Sunday,2394,0 days 00:11:10.016708437
2022-01,22,Thursday,4156,0 days 00:10:23.367661212
2022-01,22,Tuesday,3340,0 days 00:10:15.426946107
2022-01,22,Wednesday,4561,0 days 00:10:41.362420521
2022-01,23,Friday,1920,0 days 00:10:08.169791666
2022-01,23,Monday,2037,0 days 00:09:47.660284732
2022-01,23,Saturday,2025,0 days 00:10:31.543209876
2022-01,23,Sunday,1548,0 days 00:10:39.226744186
2022-01,23,Thursday,2807,0 days 00:10:20.688991806
2022-01,23,Tuesday,1957,0 days 00:09:42.554420030
2022-01,23,Wednesday,2691,0 days 00:10:36.776291341
2022-02,0,Friday,1689,0 days 00:11:01.377146240
2022-02,0,Monday,1295,0 days 00:09:50.433976833
2022-02,0,Saturday,3120,0 days 00:10:56.402564102
2022-02,0,Sunday,2663,0 days 00:10:22.852422080
2022-02,0,Thursday,1753,0 days 00:10:36.609241300
2022-02,0,Tuesday,1037,0 days 00:09:52.489874638
2022-02,0,Wednesday,1347,0 days 00:10:59.487750556
2022-02,1,Friday,851,0 days 00:09:33.444183313
2022-02,1,Monday,656,0 days 00:09:23.838414634
2022-02,1,Saturday,2136,0 days 00:10:50.237827715
2022-02,1,Sunday,1858,0 days 00:10:13.090958019
2022-02,1,Thursday,852,0 days 00:10:11.571596244
2022-02,1,Tuesday,429,0 days 00:09:31.379953379
2022-02,1,Wednesday,673,0 days 00:10:26.557206537
2022-02,2,Friday,480,0 days 00:11:21.204166666
2022-02,2,Monday,403,0 days 00:09:27.734491315
2022-02,2,Saturday,1602,0 days 00:10:28.993133583
2022-02,2,Sunday,1300,0 days 00:10:02.176153846
2022-02,2,Thursday,607,0 days 00:09:02.803953871
2022-02,2,Tuesday,326,0 days 00:09:46.153374233
2022-02,2,Wednesday,459,0 days 00:09:24.664488017
2022-02,3,Friday,327,0 days 00:10:31.128440366
2022-02,3,Monday,371,0 days 00:07:35.536388140
2022-02,3,Saturday,929,0 days 00:10:55.447793326
2022-02,3,Sunday,747,0 days 00:09:31.595716198
2022-02,3,Thursday,400,0 days 00:09:49.107500
2022-02,3,Tuesday,237,0 days 00:08:55.856540084
2022-02,3,Wednesday,344,0 days 00:09:00.869186046
2022-02,4,Friday,375,0 days 00:10:20.026666666
2022-02,4,Monday,504,0 days 00:08:33.109126984
2022-02,4,Saturday,746,0 days 00:10:27.658176943
2022-02,4,Sunday,444,0 days 00:09:39.119369369
2022-02,4,Thursday,532,0 days 00:08:57.058270676
2022-02,4,Tuesday,356,0 days 00:08:44.101123595
2022-02,4,Wednesday,469,0 days 00:07:54.130063965
2022-02,5,Friday,1300,0 days 00:09:04.512307692
2022-02,5,Monday,1427,0 days 00:08:01.206026629
2022-02,5,Saturday,529,0 days 00:09:41.323251417
2022-02,5,Sunday,344,0 days 00:09:30.127906976
2022-02,5,Thursday,1780,0 days 00:08:47.764606741
2022-02,5,Tuesday,1630,0 days 00:09:00.464417177
2022-02,5,Wednesday,1836,0 days 00:08:26.648692810
2022-02,6,Friday,3787,0 days 00:08:56.095326115
2022-02,6,Monday,4230,0 days 00:08:43.619148936
2022-02,6,Saturday,1408,0 days 00:08:49.305397727
2022-02,6,Sunday,823,0 days 00:09:08.894289185
2022-02,6,Thursday,5593,0 days 00:09:17.662971571
2022-02,6,Tuesday,5081,0 days 00:09:18.026569572
2022-02,6,Wednesday,5834,0 days 00:09:28.153068220
2022-02,7,Friday,7468,0 days 00:10:07.349892876
2022-02,7,Monday,8731,0 days 00:09:40.783644485
2022-02,7,Saturday,3036,0 days 00:09:46.860013175
2022-02,7,Sunday,1718,0 days 00:09:19.213620488
2022-02,7,Thursday,11507,0 days 00:10:27.406969670
2022-02,7,Tuesday,10132,0 days 00:10:21.914429530
2022-02,7,Wednesday,12227,0 days 00:10:40.470352498
2022-02,8,Friday,10603,0 days 00:10:23.300669621
2022-02,8,Monday,11922,0 days 00:10:11.263378627
2022-02,8,Saturday,5192,0 days 00:09:52.313559322
2022-02,8,Sunday,2901,0 days 00:09:14.295415374
2022-02,8,Thursday,17213,0 days 00:10:53.639516644
2022-02,8,Tuesday,14746,0 days 00:10:55.445612369
2022-02,8,Wednesday,17848,0 days 00:11:06.669654863
2022-02,9,Friday,8049,0 days 00:10:05.521679711
2022-02,9,Monday,8339,0 days 00:09:57.933924931
